Area,Focus Area,Outcome Code 1,Outcome 1 Description,Outcome Code 2,Outcome 2 Description,Content groups,Content points,Stage
Number & Algebra,"Additive relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,"Partition, rearrange and regroup numbers to at least 1000 to solve additive problems",Recognise how hundreds are exchanged in subtraction algorithms requiring regrouping,Stage 2
Number & Algebra,"Additive relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,"Partition, rearrange and regroup numbers to at least 1000 to solve additive problems",Recognise when mental strategies would be more efficient than a vertical algorithm for subtraction (Reasons about relations),Stage 2
Number & Algebra,"Additive relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,"Partition, rearrange and regroup numbers to at least 1000 to solve additive problems",Solve subtraction questions with missing digits given the difference (Reasons about relations),Stage 2
Number & Algebra,"Additive relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,"Apply addition and subtraction to familiar contexts, including money and budgeting","Use estimation to check the validity of solutions to addition and subtraction problems, including those involving money",Stage 2
Number & Algebra,"Additive relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,"Apply addition and subtraction to familiar contexts, including money and budgeting","Reflect on a chosen strategy for solving a problem, considering whether it can be improved",Stage 2
Number & Algebra,"Additive relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,"Apply addition and subtraction to familiar contexts, including money and budgeting",Interpret problems involving money as requiring either addition or subtraction,Stage 2
Number & Algebra,"Additive relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Complete number sentences involving additive relations to find unknown quantities,Calculate missing numbers by completing number sentences involving addition and subtraction (Algebraic reasoning),Stage 2
Number & Algebra,"Additive relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Complete number sentences involving additive relations to find unknown quantities,Find the missing number in an equivalent number sentence involving operations of addition or subtraction on both sides of the equals sign (Algebraic reasoning),Stage 2
Number & Algebra,"Additive relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Complete number sentences involving additive relations to find unknown quantities,Create word problems that correspond to given addition and subtraction number sentences,Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Generate and describe patterns,"Model, describe and record patterns of multiples",Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Generate and describe patterns,Create and continue a variety of number patterns that increase or decrease by a constant amount,Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Generate and describe patterns,Recognise the significance of the final digit of a whole number in determining whether a given number is even or odd (Reasons about relations),Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Generate and describe patterns,Recognise the connection between even numbers and the multiplication facts for 2 (Reasons about relations),Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Generate and describe patterns,Investigate the result of multiplying by one and zero (Reasons about relations),Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,"Use arrays to establish multiplication facts from multiples of 2 and 4, 5 and 10","Create and represent multiplicative structure, using the term multiples when connecting grouping to arrays",Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,"Use arrays to establish multiplication facts from multiples of 2 and 4, 5 and 10",Use the array structure to coordinate the number of groups with the number in each group,Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,"Use arrays to establish multiplication facts from multiples of 2 and 4, 5 and 10","Record the first 10 multiples formed by counting by twos, fours, fives and tens",Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,"Use arrays to establish multiplication facts from multiples of 2 and 4, 5 and 10",Relate doubling to multiplication facts for multiples of 2,Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,"Use arrays to establish multiplication facts from multiples of 2 and 4, 5 and 10",Recognise that doubling is multiplying by 2 and halving is dividing by 2 (Reasons about relations),Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,"Use arrays to establish multiplication facts from multiples of 2 and 4, 5 and 10",Recognise the relationship between one multiple and its double (Reasons about relations),Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,"Use arrays to establish multiplication facts from multiples of 2 and 4, 5 and 10",Model square numbers and record in numerical and diagrammatic form,Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,"Recall multiplication facts of 2 and 4, 5 and 10 and related division facts","Recognise and use the symbols for multiplied by (×), divided by (÷) and equals (=)",Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,"Recall multiplication facts of 2 and 4, 5 and 10 and related division facts",Link multiplication and division fact families using arrays,Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,"Recall multiplication facts of 2 and 4, 5 and 10 and related division facts","Generate multiplication fact families for multiples of 2 and 4, 5 and 10",Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,"Recall multiplication facts of 2 and 4, 5 and 10 and related division facts",Model and apply the commutative property of multiplication,Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Represent and solve problems involving multiplication fact families,Describe multiplication problems using for each and times as many,Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Represent and solve problems involving multiplication fact families,Find the total of partially covered arrays,Stage 2
Number & Algebra,"Multiplicative relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Represent and solve problems involving multiplication fact families,Apply the inverse relationship of multiplication and division (Reasons about relations),Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Investigate number sequences involving related multiples,Generate number patterns using related multiples,Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Investigate number sequences involving related multiples,Investigate number patterns involving related multiples,Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Use known number facts and strategies,Apply the known strategy of doubling to connect multiples of 3 to 6 and 4 to 8 (Reasons about relations),Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Use known number facts and strategies,Use known facts to find unknown multiples (Reasons about relations),Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Use the structure of the area model to represent multiplication and division,"Create and represent multiplicative structure, moving from arrays to partially covered area models",Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Use number properties to find related multiplication facts,Use the commutative property of multiplication,Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Use number properties to find related multiplication facts,Use the associative property within multiplication to regroup the factors (Reasons about structure),Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Use number properties to find related multiplication facts,Use flexible partitioning within multiplication (Reasons about relations),Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Use number properties to find related multiplication facts,Generate and recall multiplication fact families up to 10 x 10,Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Operate with multiples of 10,Use multiplication facts with multiples of 10 to multiply a one-digit number by a multiple of 10,Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Operate with multiples of 10,Use place value to rename groups of 10 to multiply,Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Operate with multiples of 10,Apply the commutative and associative properties to multiply by multiples of 10,Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Represent and solve word problems with number sentences involving multiplication or division,Use the equals sign to record equivalent number relationships involving multiplication (Reasons about relations),Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Represent and solve word problems with number sentences involving multiplication or division,Complete number sentences involving multiplication and division by calculating missing numbers (Reasons about relations),Stage 2
Number & Algebra,"Multiplicative relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-MR-01, represents and uses the structure of multiplicative relations to 10 × 10 to solve problems,Represent and solve word problems with number sentences involving multiplication or division,Represent and solve multiplication and division (both sharing and grouping) word problems using number sentences,Stage 2
Number & Algebra,"Partitioned fractions A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-PF-01," represents and compares halves, quarters, thirds and fifths as lengths on a number line and their related fractions formed by halving (eighths, sixths and tenths)",Create fractional parts of a length using techniques other than repeated halving,Make thirds of a length,
Number & Algebra,"Partitioned fractions A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-PF-01," represents and compares halves, quarters, thirds and fifths as lengths on a number line and their related fractions formed by halving (eighths, sixths and tenths)",Create fractional parts of a length using techniques other than repeated halving,Create fifths of a length,
Number & Algebra,"Partitioned fractions A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-PF-01," represents and compares halves, quarters, thirds and fifths as lengths on a number line and their related fractions formed by halving (eighths, sixths and tenths)","Model and represent unit fractions, and their multiples, to a complete whole on a number line","Model fractions with fraction strips and diagrams for halves, quarters, eighths, thirds",
Number & Algebra,"Partitioned fractions A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-PF-01," represents and compares halves, quarters, thirds and fifths as lengths on a number line and their related fractions formed by halving (eighths, sixths and tenths)","Model and represent unit fractions, and their multiples, to a complete whole on a number line",Describe fraction families formed by dividing the whole into the same total number of equal parts as having the same denominator,
Number & Algebra,"Partitioned fractions A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-PF-01," represents and compares halves, quarters, thirds and fifths as lengths on a number line and their related fractions formed by halving (eighths, sixths and tenths)","Model and represent unit fractions, and their multiples, to a complete whole on a number line","Determine the complementary fractional part needed to complete one whole (halves, quarters, eighths, thirds) (Reasons about relations)",
Number & Algebra,"Partitioned fractions A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-PF-01," represents and compares halves, quarters, thirds and fifths as lengths on a number line and their related fractions formed by halving (eighths, sixths and tenths)","Model and represent unit fractions, and their multiples, to a complete whole on a number line","Recreate the whole unit from a fractional part (1/2, 1/4, 1/3  and 1/8) (Reversible reasoning)",
Number & Algebra,"Partitioned fractions B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-PF-01," represents and compares halves, quarters, thirds and fifths as lengths on a number line and their related fractions formed by halving (eighths, sixths and tenths)",Model equivalent fractions as lengths,"Represent the equivalence of fractions with related denominators as lengths, using concrete materials, diagrams and number lines",
Number & Algebra,"Partitioned fractions B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-PF-01," represents and compares halves, quarters, thirds and fifths as lengths on a number line and their related fractions formed by halving (eighths, sixths and tenths)",Model equivalent fractions as lengths,Recognise the need to have equal wholes to compare partitioned fractions (Reasoning about relations),
Number & Algebra,"Partitioned fractions B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-PF-01," represents and compares halves, quarters, thirds and fifths as lengths on a number line and their related fractions formed by halving (eighths, sixths and tenths)",Model equivalent fractions as lengths,"Represent fractions with the same-size whole to make valid comparisons (denominators of 2, 4 and 8; 3 and 6; 5 and 10)",
Number & Algebra,"Partitioned fractions B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-PF-01," represents and compares halves, quarters, thirds and fifths as lengths on a number line and their related fractions formed by halving (eighths, sixths and tenths)",Represent fractional quantities equal to and greater than one,"Rename 2 halves, 3 thirds, 4 quarters, 5 fifths, 6 sixths, 8 eighths and 10 tenths as one whole",
Number & Algebra,"Partitioned fractions B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-PF-01," represents and compares halves, quarters, thirds and fifths as lengths on a number line and their related fractions formed by halving (eighths, sixths and tenths)",Represent fractional quantities equal to and greater than one,Regroup fractional parts beyond one,
Number & Algebra,"Partitioned fractions B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-PF-01," represents and compares halves, quarters, thirds and fifths as lengths on a number line and their related fractions formed by halving (eighths, sixths and tenths)",Represent fractional quantities equal to and greater than one,"Represent totals of halves, thirds, quarters and fifths that extend beyond one",
Number & Algebra,"Partitioned fractions B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-PF-01," represents and compares halves, quarters, thirds and fifths as lengths on a number line and their related fractions formed by halving (eighths, sixths and tenths)",Represent fractional quantities equal to and greater than one,Determine the relative location of one-quarter and one-half when a number line extends beyond one,
